PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIOS
BCP3,27/04/2020 19:35,27/04/2020 19:54,Programado,Normal,"Abierto interruptor para efectuar reparación depuente MT suelto. Roque C. Miranda c/ Sta. Ana - PEScavone Hnos.","Las Carmelitas, Villa Morra, Manorá."
BPA12,18/04/2020 17:22,18/04/2020 17:25,Programado,Normal,"Abierto interruptor para efectuar maniobras decanalización del BPA 4.","Salvador del Mundo, San Cristobal, San Jorge."
BPA12,30/04/2020 23:24,Recierre,Accidental,Normal,No establecido.,"Salvador del Mundo, San Cristobal, San Jorge."
BPA4,9/04/2020 14:44,9/04/2020 16:18,Accidental,Normal,Tramo subterráneo averiado. Bertoni y Denis Roa.,"Luis Alberto de Herrera, San Cristobal, SantaMaría."
GDI2,6/04/2020 16:49,6/04/2020 17:06,Programado,Normal,"Abierto interruptor para efectuar reposición deseccionador  fusible. Acometida al Hospital de Bo.Obrero.","Gral. J. E Diaz, Obrero."
GDI3,27/04/2020 03:23,27/04/2020 03:24,Accidental,Normal,"Abierto Interruptor, para efectuar reposición de SFaveriado. 8va y Colón.",Gral. J. E Diaz.
LAM10,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Terminal.
LAM10,13/04/2020 18:23,13/04/2020 19:40,Accidental,Normal,"Ramas sobre Línea MT, Seccionador Fusibleaveriado. Vencedores del Chaco y Alejandro Ravizza.",Terminal.
LAM10,28/04/2020 12:16,28/04/2020 12:51,Accidental,Normal,Puente MT suelto. Vencedores del Chaco y Ravizza.,Terminal.
LAM15,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Itá Enramada.
LAM22,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,"Hipódromo, Terminal."
LAM23,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Mburicao.
LAM23,28/04/2020 05:20,28/04/2020 06:18,Accidental,Normal,Transformador averiado. Hernán Cortes y Santa Inés.,Mburicao.
LAM28,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,"Vista Alegre, Nazareth."
LAM3,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Vista Alegre.
LAM3,15/04/2020 11:00,15/04/2020 13:55,Programado,Normal,"Abierto interruptor para efectuar reparación de líneaMT suelta sobre LAM 17 y cambio de cruceta MTrota (triple terna LAM 3 - LAM 17 - LAM 18).",Vista Alegre.
LAM3,22/04/2020 21:17,22/04/2020 21:19,Accidental,Normal,"Abierto Interruptor, para efectuar reposición de SFMT averiado. Cruce subterráneo. Avda. CaciqueLambare c/ Yacare Valija.",Vista Alegre.
LAM30,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Itá Enramada.
LAM5,7/04/2020 05:30,7/04/2020 06:45,Accidental,Normal,Fusible operado. Santa Rosa y Avda. Perón.,"Santa Librada, Itá Enramada, Pirizal."
LAM5,8/04/2020 02:10,8/04/2020 03:00,Accidental,Normal,No establecido.,"Santa Librada, Itá Enramada, Pirizal."
LAM5,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,"Santa Librada, Itá Enramada, Pirizal."
LAM5,20/04/2020 12:19,20/04/2020 12:39,Accidental,Normal,No establecido.,"Santa Librada, Itá Enramada, Pirizal."
LAM7,5/04/2020 16:12,5/04/2020 16:33,Accidental,Normal,"Pájaro en contacto con línea MT y cruceta. Nivacle yGuirnalda.","Vista Alegre, Pinoza."
LAM7,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,"Vista Alegre, Pinoza."
LAM7,28/04/2020 12:46,28/04/2020 13:14,Accidental,Normal,Rama sobre línea MT. Juan Pablo II y Pirizal.,"Vista Alegre, Pinoza."
MBU2,23/04/2020 06:56,Recierre,Accidental,Normal,No establecido.,"Madame Lych, Mburucuyá."
MBU2,23/04/2020 12:14,23/04/2020 13:12,Accidental,Normal,No establecido.,"Madame Lych, Mburucuyá."
MBU3,13/04/2020 17:28,Recierre,Accidental,Normal,No establecido.,"Las Carmelitas, Madame Lynch, Mburucuyá."
MBU3,13/04/2020 20:26,13/04/2020 20:42,Accidental,Normal,"Abierto Interruptor, para efectuar puenteo deSeccionador fusible averiado. Molas López yFrancisco Férnandez.","Las Carmelitas, Madame Lynch, Mburucuyá."
MBU5,10/04/2020 09:48,10/04/2020 09:51,Accidental,Normal,"Abierto Interruptor, para efectuar reposición deFusibles. Overava c/ Avda. Primer Presidente.","Santísima Trinidad, Madame Lych, Mbocayty, ÑuGuasu, Salvador del Mundo, Mburucuyá."
MBU5,13/04/2020 09:09,13/04/2020 10:08,Accidental,Normal,No establecido.,"Santísima Trinidad, Madame Lych, Mbocayty, ÑuGuasu, Salvador del Mundo, Mburucuyá."
MBU5,13/04/2020 10:10,13/04/2020 10:45,Accidental,Normal,"Tramo subterráneo averiado. Auditores y 1er.Presidente.","Santísima Trinidad, Madame Lych, Mbocayty, ÑuGuasu, Salvador del Mundo, Mburucuyá."
MRA1,12/04/2020 16:07,12/04/2020 17:18,Accidental,Normal,No establecido.,"Loma Pyta, Zeballos Cué, San Blas."
PBO17,25/04/2020 09:41,25/04/2020 10:16,Accidental,Normal,"Ocasionado por terceros. Consorcio Metropolitano.Pedido de Estado de Precaución 116/2020.Colocación de poste MT intermedio, en contacto conLínea MT. Primer Presidente c/ Sacramento.","Salvador del Mundo, Mbocayaty, Santa Rosa,Santisima Trinidad."
PBO17,25/04/2020 15:02,25/04/2020 15:50,Accidental,Normal,Puente MT suelto. San Juan c/ Tte. Monges.,"Salvador del Mundo, Mbocayaty, Santa Rosa,Santisima Trinidad."
PBO17,25/04/2020 16:25,25/04/2020 16:28,Accidental,Normal,Al efectuar maniobras.,"Salvador del Mundo, Mbocayaty, Santa Rosa,Santisima Trinidad."
PBO20,7/04/2020 16:20,7/04/2020 17:16,Accidental,Normal,"Línea MT suelta, cruceta MT rota y sostén averiado,ocasionado por terceros. Zeballos Cue, entrada aPuerto Unión.",Botánico.
PBO20,7/04/2020 18:52,7/04/2020 19:47,Programado,Normal,"Abierto interruptor para efectuar reparación deseccionador de línea averiado y corte de ramas.",Botánico.
PBO21,1/04/2020 20:34,1/04/2020 21:22,Accidental,Normal,"Transformador averiado. Epopeya Nacional y Mcal.Estigarribia.",Zeballos Cué.
PBO21,3/04/2020 09:38,3/04/2020 10:08,Accidental,Normal,Transformador averiado. Barrio Caacupemi.,Zeballos Cué.
