PRIMARIO,FUERA DE SERVICIO,REPOSICIONN,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIOS
BCP2,12/09/2020 23:07,12/09/2020 23:08,Programado,Normal,MEMO DD/DCC1/240/2020.,"Bella Vista, Santo Domingo, Manorá."
BCP3,12/09/2020 23:02,12/09/2020 23:03,Programado,Normal,MEMO DD/DCC1/240/2020.,"Las Carmelitas, Villa Morra, Manorá."
BCP3,26/09/2020 20:25,26/09/2020 20:39,Accidental,Adverso,"Abierto Interruptor, para reparación de Línea MTSuelta. Sobre Santa Ana.","Las Carmelitas, Villa Morra, Manorá."
BMO2,30/09/2020 13:04,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay.
BPA10,12/09/2020 23:32,12/09/2020 23:34,Programado,Normal,MEMO DD/DCC1/239/2020.,"Luis Alberto de Herrera, San Cristobal, Santa María."
BPA10,18/09/2020 14:16,18/09/2020 14:50,Accidental,Normal,SF operado. Bertoni y Del Maestro.,"Luis Alberto de Herrera, San Cristobal, Santa María."
BPA10,26/09/2020 11:43,26/09/2020 13:09,Accidental,Adverso,Transformador averiado. Mcal. López y G. Campana.,"Luis Alberto de Herrera, San Cristobal, Santa María."
BPA12,6/09/2020 13:43,6/09/2020 14:06,Accidental,Normal,Descargador averiado F2. Cap. Miranda c/ Austria.,"Salvador del Mundo, San Cristobal, San Jorge."
BPA12,6/09/2020 16:40,6/09/2020 16:48,Accidental,Normal,"Abierto interruptor para efectuar canalización deCORTE DD/DSO/162/20 (seccionador averiado).","Salvador del Mundo, San Cristobal, San Jorge."
BPA12,12/09/2020 23:48,12/09/2020 23:50,Programado,Normal,MEMO DD/DCC1/239/2020.,"Salvador del Mundo, San Cristobal, San Jorge."
BPA12,29/09/2020 15:44,Recierre,Accidental,Normal,No establecido.,"Salvador del Mundo, San Cristobal, San Jorge."
BPA12,29/09/2020 19:15,29/09/2020 19:54,Accidental,Normal,Puente MT Suelto. E. Miranda y Santa Teresa.,"Salvador del Mundo, San Cristobal, San Jorge."
BPA4,6/09/2020 01:06,6/09/2020 02:06,Accidental,Normal,Primer tramo subterráneo averiado.,"Luis Alberto de Herrera, SanCristobal, Santa María."
BPA5,13/09/2020 23:46,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"San Cristobal, Recoleta."
BPA6,30/09/2020 18:15,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"Itay, Ykua Sati, San Jorge."
BPA6,30/09/2020 20:56,30/09/2020 20:58,Accidental,Adverso,"Abierto Interruptor, para efectuar reparación dePuente MT Suelto F2. Santa Teresa.","Itay, Ykua Sati, San Jorge."
CEN3,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,"La Catedral, La Encarnación."
CEN4,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,La Encarnación.
CEN6,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,"La Encarnación, La Catedral."
FDM2,14/09/2020 06:28,14/09/2020 06:54,Accidental,Adverso,Fuera de servicio constatado por reclamos.,San Pablo.
GDI1,15/09/2020 08:26,Recierre,Accidental,Normal,No establecido.,"Gral. J. E Diaz, Obrero."
GDI1,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,"Gral. J. E Diaz, Obrero."
GDI2,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,"Gral. J. E Diaz, Obrero."
GDI3,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,Gral. J. E Diaz.
GDI4,18/09/2020 07:22,Recierre,Accidental,Normal,No establecido.,"Obrero, Dr. Roberto L. Petit, BañadoTacumbu."
