PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
BCP2,22/08/2020 17:29,22/08/2020 17:30,Producción,Normal,"Transferencia de los Alimentadores 23kV de la SE-
BCP, a pedido del CORM. TR-SS.AA 01/23kV
averiado.",Bella Vista,0 days 00:01:00,60
BCP2,22/08/2020 17:29,22/08/2020 17:30,Producción,Normal,"Transferencia de los Alimentadores 23kV de la SE-
BCP, a pedido del CORM. TR-SS.AA 01/23kV
averiado.",Santo Domingo,0 days 00:01:00,60
BCP2,22/08/2020 17:29,22/08/2020 17:30,Producción,Normal,"Transferencia de los Alimentadores 23kV de la SE-
BCP, a pedido del CORM. TR-SS.AA 01/23kV
averiado.",Manorá,0 days 00:01:00,60
BCP3,22/08/2020 17:20,22/08/2020 17:24,Producción,Normal,"Transferencia de los Alimentadores 23kV de la SE-
BCP, a pedido del CORM. TR-SS.AA 01/23kV
averiado.",Las Carmelitas,0 days 00:04:00,240
BCP3,22/08/2020 17:20,22/08/2020 17:24,Producción,Normal,"Transferencia de los Alimentadores 23kV de la SE-
BCP, a pedido del CORM. TR-SS.AA 01/23kV
averiado.",Villa Morra,0 days 00:04:00,240
BCP3,22/08/2020 17:20,22/08/2020 17:24,Producción,Normal,"Transferencia de los Alimentadores 23kV de la SE-
BCP, a pedido del CORM. TR-SS.AA 01/23kV
averiado.",Manorá,0 days 00:04:00,240
BMO2,25/08/2020 22:08,26/08/2020 00:08,Accidental,Normal,No establecido.,Itay,0 days 02:00:00,7200
BPA4,7/08/2020 12:21,07/08/2020 14:21,Accidental,Normal,No establecido.,Luis Alberto de Herrera,0 days 02:00:00,7200
BPA4,7/08/2020 12:21,07/08/2020 14:21,Accidental,Normal,No establecido.,San Cristóbal,0 days 02:00:00,7200
BPA4,7/08/2020 12:21,07/08/2020 14:21,Accidental,Normal,No establecido.,Santa María,0 days 02:00:00,7200
BPA8,19/08/2020 21:31,19/08/2020 23:31,Accidental,Normal,No establecido.,Villa Morra,0 days 02:00:00,7200
