PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
BCP2,16/12/2020 08:02,16/12/2020 10:02,Accidental,Normal,No establecido.,Bella Vista,0 days 02:00:00,7200
BCP2,16/12/2020 08:02,16/12/2020 10:02,Accidental,Normal,No establecido.,Santo Domingo,0 days 02:00:00,7200
BCP2,16/12/2020 08:02,16/12/2020 10:02,Accidental,Normal,No establecido.,Manorá,0 days 02:00:00,7200
BCP2,16/12/2020 08:05,16/12/2020 10:05,Accidental,Normal,No establecido.,Bella Vista,0 days 02:00:00,7200
BCP2,16/12/2020 08:05,16/12/2020 10:05,Accidental,Normal,No establecido.,Santo Domingo,0 days 02:00:00,7200
BCP2,16/12/2020 08:05,16/12/2020 10:05,Accidental,Normal,No establecido.,Manorá,0 days 02:00:00,7200
BCP2,16/12/2020 09:04,16/12/2020 10:00,Programado,Normal,Abierto interruptor para efectuar reparación de
puente MT suelto. RTU N° 25065.,Bella Vista,0 days 00:56:00,3360
BCP2,16/12/2020 09:04,16/12/2020 10:00,Programado,Normal,Abierto interruptor para efectuar reparación de
puente MT suelto. RTU N° 25065.,Santo Domingo,0 days 00:56:00,3360
BCP2,16/12/2020 09:04,16/12/2020 10:00,Programado,Normal,Abierto interruptor para efectuar reparación de
puente MT suelto. RTU N° 25065.,Manorá,0 days 00:56:00,3360
BCP3,14/12/2020 14:48,14/12/2020 16:48,Accidental,Normal,No establecido.,Las Carmelitas,0 days 02:00:00,7200
BCP3,14/12/2020 14:48,14/12/2020 16:48,Accidental,Normal,No establecido.,Villa Morra,0 days 02:00:00,7200
BCP3,14/12/2020 14:48,14/12/2020 16:48,Accidental,Normal,No establecido.,Manorá,0 days 02:00:00,7200
BMO1,4/12/2020 22:33,4/12/2020 22:43,Accidental,Normal,Puente MT Suelto. Florida y Virgen de Caacupe.
Línea desprendida del aislador.,Itay,0 days 00:10:00,600
BMO1,4/12/2020 22:33,4/12/2020 22:43,Accidental,Normal,Puente MT Suelto. Florida y Virgen de Caacupe.
Línea desprendida del aislador.,San Jorge,0 days 00:10:00,600
BMO1,10/12/2020 01:22,10/12/2020 01:58,Accidental,Normal,Transformador Averiado. Insauralde y Cerro Corá.,Itay,0 days 00:36:00,2160
BMO1,10/12/2020 01:22,10/12/2020 01:58,Accidental,Normal,Transformador Averiado. Insauralde y Cerro Corá.,San Jorge,0 days 00:36:00,2160
BMO2,7/12/2020 07:19,7/12/2020 07:30,Accidental,Normal,Al efectuar maniobras.,Itay,0 days 00:11:00,660
BPA12,13/12/2020 18:46,13/12/2020 20:46,Accidental,Adverso,Condiciones Climáticas Adversas.,Salvador del Mundo,0 days 02:00:00,7200
BPA12,13/12/2020 18:46,13/12/2020 20:46,Accidental,Adverso,Condiciones Climáticas Adversas.,San Cristóbal,0 days 02:00:00,7200
BPA12,13/12/2020 18:46,13/12/2020 20:46,Accidental,Adverso,Condiciones Climáticas Adversas.,San Jorge,0 days 02:00:00,7200
BPA3,8/12/2020 23:17,8/12/2020 23:19,Programado,Normal,Alivio de Carga 10 MW. MEMO DD/DCC1/328/2020.,San Cristóbal,0 days 00:02:00,120
