,PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
0,BCP2,6/01/2020 15:50,6/01/2020 17:49,Accidental,Adverso,Condiciones Climáticas Adversas.,Bella Vista,0 days 01:59:00,7140
1,BCP2,6/01/2020 15:50,6/01/2020 17:49,Accidental,Adverso,Condiciones Climáticas Adversas.,Santo Domingo,0 days 01:59:00,7140
2,BCP2,6/01/2020 15:50,6/01/2020 17:49,Accidental,Adverso,Condiciones Climáticas Adversas.,Manorá,0 days 01:59:00,7140
0,BCP2,6/01/2020 21:45,6/01/2020 22:30,Accidental,Adverso,"Ramas sobre Línea MT. Mena Porta y Pedro P.
Peña.",Bella Vista,0 days 00:45:00,2700
1,BCP2,6/01/2020 21:45,6/01/2020 22:30,Accidental,Adverso,"Ramas sobre Línea MT. Mena Porta y Pedro P.
Peña.",Santo Domingo,0 days 00:45:00,2700
2,BCP2,6/01/2020 21:45,6/01/2020 22:30,Accidental,Adverso,"Ramas sobre Línea MT. Mena Porta y Pedro P.
Peña.",Manorá,0 days 00:45:00,2700
0,BCP2,26/01/2020 11:09,26/01/2020 12:03,Accidental,Normal,"Cruceta MT rota y Puente MT Suelto. Moreno y
Aguirre.",Bella Vista,0 days 00:54:00,3240
1,BCP2,26/01/2020 11:09,26/01/2020 12:03,Accidental,Normal,"Cruceta MT rota y Puente MT Suelto. Moreno y
Aguirre.",Santo Domingo,0 days 00:54:00,3240
2,BCP2,26/01/2020 11:09,26/01/2020 12:03,Accidental,Normal,"Cruceta MT rota y Puente MT Suelto. Moreno y
Aguirre.",Manorá,0 days 00:54:00,3240
0,BCP3,6/01/2020 15:50,6/01/2020 20:30,Accidental,Adverso,"SF operado, Ramas sobre Línea MT. Agustín Barrios
y Roa Bastos.",Las Carmelitas,0 days 04:40:00,16800
1,BCP3,6/01/2020 15:50,6/01/2020 20:30,Accidental,Adverso,"SF operado, Ramas sobre Línea MT. Agustín Barrios
y Roa Bastos.",Villa Morra,0 days 04:40:00,16800
2,BCP3,6/01/2020 15:50,6/01/2020 20:30,Accidental,Adverso,"SF operado, Ramas sobre Línea MT. Agustín Barrios
y Roa Bastos.",Manorá,0 days 04:40:00,16800
0,BCP3,29/01/2020 18:20,30/01/2020 00:50,Accidental,Adverso,Condiciones Climáticas Adversas.,Las Carmelitas,0 days 06:30:00,23400
1,BCP3,29/01/2020 18:20,30/01/2020 00:50,Accidental,Adverso,Condiciones Climáticas Adversas.,Villa Morra,0 days 06:30:00,23400
2,BCP3,29/01/2020 18:20,30/01/2020 00:50,Accidental,Adverso,Condiciones Climáticas Adversas.,Manorá,0 days 06:30:00,23400
0,BMO1,6/01/2020 15:50,6/01/2020 15:53,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay,0 days 00:03:00,180
1,BMO1,6/01/2020 15:50,6/01/2020 15:53,Accidental,Adverso,Condiciones Climáticas Adversas.,San Jorge,0 days 00:03:00,180
0,BMO1,6/01/2020 20:04,6/01/2020 20:10,Producción,Adverso,Al cerrar BMO5.,Itay,0 days 00:06:00,360
1,BMO1,6/01/2020 20:04,6/01/2020 20:10,Producción,Adverso,Al cerrar BMO5.,San Jorge,0 days 00:06:00,360
0,BMO1,10/01/2020 10:41,10/01/2020 12:41,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay,0 days 02:00:00,7200
1,BMO1,10/01/2020 10:41,10/01/2020 12:41,Accidental,Adverso,Condiciones Climáticas Adversas.,San Jorge,0 days 02:00:00,7200
0,BMO1,10/01/2020 11:46,10/01/2020 11:56,Accidental,Adverso,"Abierto Interruptor, para efectuar reposición de
fusible. Sta. Carolina y 3 de Julio.",Itay,0 days 00:10:00,600
1,BMO1,10/01/2020 11:46,10/01/2020 11:56,Accidental,Adverso,"Abierto Interruptor, para efectuar reposición de
fusible. Sta. Carolina y 3 de Julio.",San Jorge,0 days 00:10:00,600
0,BMO1,12/01/2020 19:05,12/01/2020 19:11,Producción,Normal,"Fuera de Servicio ES-BMO. Línea MT Suelta F2
sobre BMO 2. Laguna grande y O ´leary por ramas
sobre Línea MT.",Itay,0 days 00:06:00,360
1,BMO1,12/01/2020 19:05,12/01/2020 19:11,Producción,Normal,"Fuera de Servicio ES-BMO. Línea MT Suelta F2
sobre BMO 2. Laguna grande y O ´leary por ramas
sobre Línea MT.",San Jorge,0 days 00:06:00,360
0,BMO1,25/01/2020 08:13,25/01/2020 08:32,Programado,Normal,Corte programado DD/DCC7/001/20.,Itay,0 days 00:19:00,1140
1,BMO1,25/01/2020 08:13,25/01/2020 08:32,Programado,Normal,Corte programado DD/DCC7/001/20.,San Jorge,0 days 00:19:00,1140
0,BMO1,29/01/2020 18:17,29/01/2020 20:42,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay,0 days 02:25:00,8700
1,BMO1,29/01/2020 18:17,29/01/2020 20:42,Accidental,Adverso,Condiciones Climáticas Adversas.,San Jorge,0 days 02:25:00,8700
0,BMO1,30/01/2020 14:55,30/01/2020 15:53,Accidental,Adverso,"Abierto interruptor para reparacion de puente suelto
en 12 de junio y Obrero.",Itay,0 days 00:58:00,3480
1,BMO1,30/01/2020 14:55,30/01/2020 15:53,Accidental,Adverso,"Abierto interruptor para reparacion de puente suelto
en 12 de junio y Obrero.",San Jorge,0 days 00:58:00,3480
0,BMO1,30/01/2020 16:09,30/01/2020 16:40,Accidental,Adverso,Al cerrar SLT N° 52405.,Itay,0 days 00:31:00,1860
1,BMO1,30/01/2020 16:09,30/01/2020 16:40,Accidental,Adverso,Al cerrar SLT N° 52405.,San Jorge,0 days 00:31:00,1860
0,BMO1,30/01/2020 16:41,30/01/2020 17:19,Accidental,Adverso,Línea MT suelta en Salin Yubi y Del Carmen.,Itay,0 days 00:38:00,2280
1,BMO1,30/01/2020 16:41,30/01/2020 17:19,Accidental,Adverso,Línea MT suelta en Salin Yubi y Del Carmen.,San Jorge,0 days 00:38:00,2280
0,BMO2,6/01/2020 15:33,6/01/2020 19:55,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay,0 days 04:22:00,15720
0,BMO2,6/01/2020 20:04,6/01/2020 20:10,Producción,Adverso,Al cerrar BMO5.,Itay,0 days 00:06:00,360
0,BMO2,7/01/2020 12:36,7/01/2020 12:45,Accidental,Normal,"Abierto Interruptor, para efectuar reparación de
Puente MT suelto. San Cristobal y Cantero.",Itay,0 days 00:09:00,540
0,BMO2,12/01/2020 19:05,12/01/2020 19:58,Accidental,Normal,"Fuera de Servicio ES-BMO. Línea MT Suelta F2
sobre BMO 2. Laguna grande y O ´leary por ramas
sobre Línea MT.",Itay,0 days 00:53:00,3180
0,BMO2,20/01/2020 08:15,20/01/2020 10:15,Accidental,Normal,No establecido.,Itay,0 days 02:00:00,7200
0,BMO2,29/01/2020 18:12,29/01/2020 20:12,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay,0 days 02:00:00,7200
0,BMO2,30/01/2020 16:09,30/01/2020 16:15,Programado,Normal,Fuera de Servicio ES-BMO.,Itay,0 days 00:06:00,360
0,BMO2,30/01/2020 16:40,30/01/2020 17:38,Producción,Adverso,Fuera de Servicio ES-BMO.,Itay,0 days 00:58:00,3480
0,BPA10,6/01/2020 15:30,06/01/2020 17:30,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay,0 days 02:00:00,7200
0,BPA10,6/01/2020 15:34,6/01/2020 19:03,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay,0 days 03:29:00,12540
0,BPA10,6/01/2020 21:46,6/01/2020 21:59,Accidental,Adverso,"Abierto Interruptor, para efectuar reposición de SF.
Lado Frigorifico Guaraní.",Itay,0 days 00:13:00,780
0,BPA10,12/01/2020 21:30,12/01/2020 23:30,Accidental,Normal,No establecido.,Itay,0 days 02:00:00,7200
0,BPA10,13/01/2020 16:38,13/01/2020 18:38,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay,0 days 02:00:00,7200
0,BPA10,29/01/2020 18:14,30/01/2020 05:44,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay,0 days 11:30:00,41400
