PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
BCP3,13/02/2020 07:29,13/02/2020 07:48,Accidental,Normal,Desperfecto interno. Colegio Americano.,Las Carmelitas,0 days 00:19:00,1140
BCP3,13/02/2020 07:29,13/02/2020 07:48,Accidental,Normal,Desperfecto interno. Colegio Americano.,Villa Morra,0 days 00:19:00,1140
BCP3,13/02/2020 07:29,13/02/2020 07:48,Accidental,Normal,Desperfecto interno. Colegio Americano.,Manorá,0 days 00:19:00,1140
BCP3,29/02/2020 12:38,29/02/2020 12:41,Programado,Normal,Abierto interruptor para efectuar maniobras.,Las Carmelitas,0 days 00:03:00,180
BCP3,29/02/2020 12:38,29/02/2020 12:41,Programado,Normal,Abierto interruptor para efectuar maniobras.,Villa Morra,0 days 00:03:00,180
BCP3,29/02/2020 12:38,29/02/2020 12:41,Programado,Normal,Abierto interruptor para efectuar maniobras.,Manorá,0 days 00:03:00,180
BMO1,8/02/2020 23:47,8/02/2020 23:49,Programado,Normal,MEMO DD/DCC1/034/2020.,Itay,0 days 00:02:00,120
BMO1,8/02/2020 23:47,8/02/2020 23:49,Programado,Normal,MEMO DD/DCC1/034/2020.,San Jorge,0 days 00:02:00,120
BMO2,9/02/2020 00:19,9/02/2020 00:20,Programado,Normal,MEMO DD/DCC1/034/2020.,Itay,0 days 00:01:00,60
BPA10,21/02/2020 15:13,21/02/2020 15:53,Accidental,Normal,Ramas de palmera sobre Línea MT. Guido Spano c/ Consejal Vargas.,Luis Alberto de Herrera,0 days 00:40:00,2400
BPA10,21/02/2020 15:13,21/02/2020 15:53,Accidental,Normal,Ramas de palmera sobre Línea MT. Guido Spano c/ Consejal Vargas.,San Cristóbal,0 days 00:40:00,2400
BPA10,21/02/2020 15:13,21/02/2020 15:53,Accidental,Normal,Ramas de palmera sobre Línea MT. Guido Spano c/ Consejal Vargas.,Santa María,0 days 00:40:00,2400
BPA10,25/02/2020 13:11,25/02/2020 15:11,Accidental,Normal,No establecido.,Luis Alberto de Herrera,0 days 02:00:00,7200
BPA10,25/02/2020 13:11,25/02/2020 15:11,Accidental,Normal,No establecido.,San Cristóbal,0 days 02:00:00,7200
BPA10,25/02/2020 13:11,25/02/2020 15:11,Accidental,Normal,No establecido.,Santa María,0 days 02:00:00,7200
BPA10,25/02/2020 13:30,25/02/2020 15:30,Accidental,Normal,No establecido.,Luis Alberto de Herrera,0 days 02:00:00,7200
BPA10,25/02/2020 13:30,25/02/2020 15:30,Accidental,Normal,No establecido.,San Cristóbal,0 days 02:00:00,7200
BPA10,25/02/2020 13:30,25/02/2020 15:30,Accidental,Normal,No establecido.,Santa María,0 days 02:00:00,7200
BPA12,28/02/2020 03:38,28/02/2020 03:43,Programado,Normal,Abierto interruptor para efectuar reposición de seccionador fusible en forma directa. Eusebio Lillo y Dr. Bernardino Caballero.,Salvador del Mundo,0 days 00:05:00,300
BPA12,28/02/2020 03:38,28/02/2020 03:43,Programado,Normal,Abierto interruptor para efectuar reposición de seccionador fusible en forma directa. Eusebio Lillo y Dr. Bernardino Caballero.,San Cristóbal,0 days 00:05:00,300
BPA12,28/02/2020 03:38,28/02/2020 03:43,Programado,Normal,Abierto interruptor para efectuar reposición de seccionador fusible en forma directa. Eusebio Lillo y Dr. Bernardino Caballero.,San Jorge,0 days 00:05:00,300
BPA13,5/02/2020 08:12,5/02/2020 08:13,Programado,Normal,Alivio de carga. SE-BPA.,Salvador del Mundo,0 days 00:01:00,60
BPA13,5/02/2020 08:12,5/02/2020 08:13,Programado,Normal,Alivio de carga. SE-BPA.,San Cristóbal,0 days 00:01:00,60
BPA13,5/02/2020 08:12,5/02/2020 08:13,Programado,Normal,Alivio de carga. SE-BPA.,San Jorge,0 days 00:01:00,60
BPA4,9/02/2020 01:23,9/02/2020 01:45,Accidental,Normal,"Abierto Interruptor, para efectuar reparación. Baja aislación F2 en el Seccionador N° 51765.",Luis Alberto de Herrera,0 days 00:22:00,1320
BPA4,9/02/2020 01:23,9/02/2020 01:45,Accidental,Normal,"Abierto Interruptor, para efectuar reparación. Baja aislación F2 en el Seccionador N° 51765.",San Cristóbal,0 days 00:22:00,1320
BPA4,9/02/2020 01:23,9/02/2020 01:45,Accidental,Normal,"Abierto Interruptor, para efectuar reparación. Baja aislación F2 en el Seccionador N° 51765.",Santa María,0 days 00:22:00,1320
BPA4,18/02/2020 12:37,18/02/2020 14:37,Accidental,Normal,No establecido.,Luis Alberto de Herrera,0 days 02:00:00,7200
BPA4,18/02/2020 12:37,18/02/2020 14:37,Accidental,Normal,No establecido.,San Cristóbal,0 days 02:00:00,7200
BPA4,18/02/2020 12:37,18/02/2020 14:37,Accidental,Normal,No establecido.,Santa María,0 days 02:00:00,7200
BPA6,18/02/2020 13:41,18/02/2020 15:00,Accidental,Normal,Línea MT en C.C. Grupo Habitacional Aeropuerto.,Itay,0 days 01:19:00,4740
BPA6,18/02/2020 13:41,18/02/2020 15:00,Accidental,Normal,Línea MT en C.C. Grupo Habitacional Aeropuerto.,Ykua Sati,0 days 01:19:00,4740
BPA6,18/02/2020 13:41,18/02/2020 15:00,Accidental,Normal,Línea MT en C.C. Grupo Habitacional Aeropuerto.,San Jorge,0 days 01:19:00,4740
BPA6,25/02/2020 18:22,25/02/2020 18:24,Accidental,Normal,Abierto Interruptor. Choque por sostén MT. Avda. Madame Lynch c/ Gorostiaga.,Itay,0 days 00:02:00,120
BPA6,25/02/2020 18:22,25/02/2020 18:24,Accidental,Normal,Abierto Interruptor. Choque por sostén MT. Avda. Madame Lynch c/ Gorostiaga.,Ykua Sati,0 days 00:02:00,120
BPA6,25/02/2020 18:22,25/02/2020 18:24,Accidental,Normal,Abierto Interruptor. Choque por sostén MT. Avda. Madame Lynch c/ Gorostiaga.,San Jorge,0 days 00:02:00,120
BPA7,16/02/2020 14:10,16/02/2020 14:57,Accidental,Adverso,Condiciones Climáticas Adversas.,San Cristóbal,0 days 00:47:00,2820
