PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
BCP2,27/07/2020 19:01,27/07/2020 19:07,Accidental,Normal,Transformador averiado. Maciel y Agustín Barrios.,Bella Vista,0 days 00:06:00,360
BCP2,27/07/2020 19:01,27/07/2020 19:07,Accidental,Normal,Transformador averiado. Maciel y Agustín Barrios.,Santo Domingo,0 days 00:06:00,360
BCP2,27/07/2020 19:01,27/07/2020 19:07,Accidental,Normal,Transformador averiado. Maciel y Agustín Barrios.,Manorá,0 days 00:06:00,360
BPA12,9/07/2020 06:58,9/07/2020 07:02,Programado,Normal,MEMO DD/DCC1/164/2020.,Salvador del Mundo,0 days 00:04:00,240
BPA12,9/07/2020 06:58,9/07/2020 07:02,Programado,Normal,MEMO DD/DCC1/164/2020.,San Cristóbal,0 days 00:04:00,240
BPA12,9/07/2020 06:58,9/07/2020 07:02,Programado,Normal,MEMO DD/DCC1/164/2020.,San Jorge,0 days 00:04:00,240
BPA2,3/07/2020 14:54,3/07/2020 15:01,Accidental,Normal,Maniobras en la SE-BPA.,Manorá,0 days 00:07:00,420
BPA2,3/07/2020 14:54,3/07/2020 15:01,Accidental,Normal,Maniobras en la SE-BPA.,Ykua Sati,0 days 00:07:00,420
BPA2,3/07/2020 14:54,3/07/2020 15:01,Accidental,Normal,Maniobras en la SE-BPA.,Las Carmelitas,0 days 00:07:00,420
BPA3,3/07/2020 14:54,3/07/2020 15:01,Accidental,Normal,Maniobras en la SE-BPA.,San Cristóbal,0 days 00:07:00,420
BPA3,3/07/2020 14:54,3/07/2020 15:01,Accidental,Normal,Maniobras en la SE-BPA.,Mcal. Estigarribia,0 days 00:07:00,420
BPA3,14/07/2020 09:34,14/07/2020 09:59,Accidental,Normal,Línea fibra optica en contacto con Línea MT. Ocasionado por terceros. Boggiani y Alas Paraguayas.,San Cristóbal,0 days 00:25:00,1500
BPA3,14/07/2020 09:34,14/07/2020 09:59,Accidental,Normal,Línea fibra optica en contacto con Línea MT. Ocasionado por terceros. Boggiani y Alas Paraguayas.,Mcal. Estigarribia,0 days 00:25:00,1500
BPA4,9/07/2020 08:07,9/07/2020 08:23,Accidental,Normal,No establecido.,Luis Alberto de Herrera,0 days 00:16:00,960
BPA4,9/07/2020 08:07,9/07/2020 08:23,Accidental,Normal,No establecido.,San Cristóbal,0 days 00:16:00,960
BPA4,9/07/2020 08:07,9/07/2020 08:23,Accidental,Normal,No establecido.,Santa María,0 days 00:16:00,960
BPA8,7/07/2020 00:15,07/07/2020 02:15,Accidental,Normal,SF averiado.,Villa Morra,0 days 02:00:00,7200
BPA8,7/07/2020 02:35,07/07/2020 04:35,Accidental,Normal,Línea MT Suelta.,Villa Morra,0 days 02:00:00,7200
CEN3,27/07/2020 08:16,27/07/2020 09:43,Producción,Normal,Fuera de servicio TR-01 y TR-02. SE-CEN. Transferencia sobre PCA5.,La Catedral,0 days 01:27:00,5220
CEN3,27/07/2020 08:16,27/07/2020 09:43,Producción,Normal,Fuera de servicio TR-01 y TR-02. SE-CEN. Transferencia sobre PCA5.,La Encarnación,0 days 01:27:00,5220
CEN4,27/07/2020 08:16,27/07/2020 08:33,Producción,Normal,Fuera de servicio TR-01 y TR-02. SE-CEN.,La Encarnación,0 days 00:17:00,1020
CEN6,27/07/2020 08:16,27/07/2020 09:45,Producción,Normal,Fuera de servicio TR-01 y TR-02. SE-CEN. Transferencia sobre PCA5.,La Encarnación,0 days 01:29:00,5340
CEN6,27/07/2020 08:16,27/07/2020 09:45,Producción,Normal,Fuera de servicio TR-01 y TR-02. SE-CEN. Transferencia sobre PCA5.,La Catedral,0 days 01:29:00,5340
FDM2,8/07/2020 05:55,8/07/2020 06:29,Producción,Normal,Fuera de Servicio LT 66kV SLO-FDM.,San Pablo,0 days 00:34:00,2040
FDM2,19/07/2020 23:37,19/07/2020 23:57,Accidental,Normal,No establecido.,San Pablo,0 days 00:20:00,1200
FDM3,8/07/2020 05:55,8/07/2020 06:29,Producción,Normal,Fuera de Servicio LT 66kV SLO-FDM.,San Pablo,0 days 00:34:00,2040
GDI2,17/07/2020 16:26,17/07/2020 17:15,Accidental,Normal,"Puente MT Suelto F2, conductor de copaco sobre Línea MT F2. Avda. Rodriguez de Francia e/ 14 de Mayo y Alberdi.  Transferencia sobre PSA8.",Gral. J. E Diaz,0 days 00:49:00,2940
GDI2,17/07/2020 16:26,17/07/2020 17:15,Accidental,Normal,"Puente MT Suelto F2, conductor de copaco sobre Línea MT F2. Avda. Rodriguez de Francia e/ 14 de Mayo y Alberdi.  Transferencia sobre PSA8.",Obrero,0 days 00:49:00,2940
GDI3,2/07/2020 06:57,2/07/2020 06:58,Programado,Normal,MEMO DD/DCC1/148/2020.,Gral. J. E Diaz,0 days 00:01:00,60
GDI4,13/07/2020 22:36,14/07/2020 00:36,Accidental,Normal,No establecido.,Obrero,0 days 02:00:00,7200
GDI4,13/07/2020 22:36,14/07/2020 00:36,Accidental,Normal,No establecido.,Dr. Roberto L. Petit,0 days 02:00:00,7200
GDI4,13/07/2020 22:36,14/07/2020 00:36,Accidental,Normal,No establecido.,Bañado Tacumbu,0 days 02:00:00,7200
GDI4,28/07/2020 09:53,28/07/2020 10:41,Accidental,Normal,No establecido.,Obrero,0 days 00:48:00,2880
GDI4,28/07/2020 09:53,28/07/2020 10:41,Accidental,Normal,No establecido.,Dr. Roberto L. Petit,0 days 00:48:00,2880
GDI4,28/07/2020 09:53,28/07/2020 10:41,Accidental,Normal,No establecido.,Bañado Tacumbu,0 days 00:48:00,2880
GDI4,28/07/2020 09:53,28/07/2020 10:41,Accidental,Normal,No establecido.,Obrero,0 days 00:48:00,2880
GDI4,28/07/2020 09:53,28/07/2020 10:41,Accidental,Normal,No establecido.,Dr. Roberto L. Petit,0 days 00:48:00,2880
GDI4,28/07/2020 09:53,28/07/2020 10:41,Accidental,Normal,No establecido.,Bañado Tacumbu,0 days 00:48:00,2880
LAM28,26/07/2020 12:14,26/07/2020 15:34,Accidental,Normal,"Puente MT Suelto F2, Línea MT Suelta.  Condor S.A. Guaranies c/ Dr. Gorostiaga. Línea MT Suelta en varios puntos en el Barrio Nazareth. Línea preensamblada averiada 2do. tramo. Yasy y Tavapy.",Vista Alegre,0 days 03:20:00,12000
LAM28,26/07/2020 12:14,26/07/2020 15:34,Accidental,Normal,"Puente MT Suelto F2, Línea MT Suelta.  Condor S.A. Guaranies c/ Dr. Gorostiaga. Línea MT Suelta en varios puntos en el Barrio Nazareth. Línea preensamblada averiada 2do. tramo. Yasy y Tavapy.",Nazareth,0 days 03:20:00,12000
LAM3,23/07/2020 09:05,23/07/2020 09:42,Accidental,Normal,Desperfecto interno. Cooperativa Chortizer.,Vista Alegre,0 days 00:37:00,2220
LAM5,23/07/2020 10:25,23/07/2020 11:09,Accidental,Normal,"Fusible operado, lado cervezeria. Cola de pandorga sobre Línea MT.",Santa Ana,0 days 00:44:00,2640
LAM5,23/07/2020 10:25,23/07/2020 11:09,Accidental,Normal,"Fusible operado, lado cervezeria. Cola de pandorga sobre Línea MT.",Itá Enramada,0 days 00:44:00,2640
LAM5,23/07/2020 10:25,23/07/2020 11:09,Accidental,Normal,"Fusible operado, lado cervezeria. Cola de pandorga sobre Línea MT.",Jukyty,0 days 00:44:00,2640
LAM5,23/07/2020 10:25,23/07/2020 11:09,Accidental,Normal,"Fusible operado, lado cervezeria. Cola de pandorga sobre Línea MT.",Santa Librada,0 days 00:44:00,2640
LAM5,23/07/2020 10:25,23/07/2020 11:09,Accidental,Normal,"Fusible operado, lado cervezeria. Cola de pandorga sobre Línea MT.",San Cayetano,0 days 00:44:00,2640
LAM5,23/07/2020 10:25,23/07/2020 11:09,Accidental,Normal,"Fusible operado, lado cervezeria. Cola de pandorga sobre Línea MT.",Pirizal,0 days 00:44:00,2640
LAM7,5/07/2020 09:40,5/07/2020 10:31,Accidental,Normal,No establecido.,Vista Alegre,0 days 00:51:00,3060
LAM7,5/07/2020 09:40,5/07/2020 10:31,Accidental,Normal,No establecido.,Pinoza,0 days 00:51:00,3060
MBU2,26/07/2020 12:51,26/07/2020 13:42,Accidental,Normal,Cruceta MT rota. PE BURGER KING.,Madame Lynch,0 days 00:51:00,3060
MBU2,26/07/2020 12:51,26/07/2020 13:42,Accidental,Normal,Cruceta MT rota. PE BURGER KING.,Mburucuyá,0 days 00:51:00,3060
