PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
BMO1,28/03/2020 08:34,28/03/2020 10:49,Accidental,Normal,Línea MT suelta F2. Ibañez Rojas e/ Tuyuti y A. Caballero.,Itay,0 days 02:15:00,8100
BMO1,28/03/2020 08:34,28/03/2020 10:49,Accidental,Normal,Línea MT suelta F2. Ibañez Rojas e/ Tuyuti y A. Caballero.,San Jorge,0 days 02:15:00,8100
BPA10,10/03/2020 14:24,10/03/2020 15:22,Accidental,Normal,Ramas sobre Línea MT. Avda. Mcal. López c/ Cerro Porteño.,Luis Alberto de Herrera,0 days 00:58:00,3480
BPA10,10/03/2020 14:24,10/03/2020 15:22,Accidental,Normal,Ramas sobre Línea MT. Avda. Mcal. López c/ Cerro Porteño.,San Cristóbal,0 days 00:58:00,3480
BPA10,10/03/2020 14:24,10/03/2020 15:22,Accidental,Normal,Ramas sobre Línea MT. Avda. Mcal. López c/ Cerro Porteño.,Santa María,0 days 00:58:00,3480
BPA10,13/03/2020 14:26,13/03/2020 14:31,Programado,Normal,"Abierto interruptor para efectuar maniobras, alivio de carga del BPA 10.",Luis Alberto de Herrera,0 days 00:05:00,300
BPA10,13/03/2020 14:26,13/03/2020 14:31,Programado,Normal,"Abierto interruptor para efectuar maniobras, alivio de carga del BPA 10.",San Cristóbal,0 days 00:05:00,300
BPA10,13/03/2020 14:26,13/03/2020 14:31,Programado,Normal,"Abierto interruptor para efectuar maniobras, alivio de carga del BPA 10.",Santa María,0 days 00:05:00,300
BPA4,18/03/2020 19:24,18/03/2020 21:24,Accidental,Adverso,Condiciones climáticas adversas.,Luis Alberto de Herrera,0 days 02:00:00,7200
BPA4,18/03/2020 19:24,18/03/2020 21:24,Accidental,Adverso,Condiciones climáticas adversas.,San Cristóbal,0 days 02:00:00,7200
