,PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
0,BCP2,14/10/2020 13:46,14/10/2020 15:03,Accidental,Adverso,Transformador averiado. Aguirre y Peña.,Bella Vista,0 days 01:17:00,4620
1,BCP2,14/10/2020 13:46,14/10/2020 15:03,Accidental,Adverso,Transformador averiado. Aguirre y Peña.,Santo Domingo,0 days 01:17:00,4620
2,BCP2,14/10/2020 13:46,14/10/2020 15:03,Accidental,Adverso,Transformador averiado. Aguirre y Peña.,Manorá,0 days 01:17:00,4620
0,BCP2,26/10/2020 02:27,26/10/2020 03:23,Accidental,Adverso,Condiciones Climáticas Adversas.,Bella Vista,0 days 00:56:00,3360
1,BCP2,26/10/2020 02:27,26/10/2020 03:23,Accidental,Adverso,Condiciones Climáticas Adversas.,Santo Domingo,0 days 00:56:00,3360
2,BCP2,26/10/2020 02:27,26/10/2020 03:23,Accidental,Adverso,Condiciones Climáticas Adversas.,Manorá,0 days 00:56:00,3360
0,BCP2,26/10/2020 03:27,26/10/2020 09:31,Accidental,Adverso,Condiciones Climáticas Adversas.,Bella Vista,0 days 06:04:00,21840
1,BCP2,26/10/2020 03:27,26/10/2020 09:31,Accidental,Adverso,Condiciones Climáticas Adversas.,Santo Domingo,0 days 06:04:00,21840
2,BCP2,26/10/2020 03:27,26/10/2020 09:31,Accidental,Adverso,Condiciones Climáticas Adversas.,Manorá,0 days 06:04:00,21840
0,BMO1,26/10/2020 01:45,26/10/2020 04:35,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay,0 days 02:50:00,10200
1,BMO1,26/10/2020 01:45,26/10/2020 04:35,Accidental,Adverso,Condiciones Climáticas Adversas.,San Jorge,0 days 02:50:00,10200
0,BMO1,27/10/2020 11:45,27/10/2020 12:30,Accidental,Normal,No establecido.,Itay,0 days 00:45:00,2700
1,BMO1,27/10/2020 11:45,27/10/2020 12:30,Accidental,Normal,No establecido.,San Jorge,0 days 00:45:00,2700
0,BMO1,29/10/2020 15:28,29/10/2020 17:28,Accidental,Normal,No establecido.,Itay,0 days 02:00:00,7200
1,BMO1,29/10/2020 15:28,29/10/2020 17:28,Accidental,Normal,No establecido.,San Jorge,0 days 02:00:00,7200
0,BMO1,29/10/2020 15:55,29/10/2020 15:57,Accidental,Normal,Seccionador N° 54121 averiado.,Itay,0 days 00:02:00,120
1,BMO1,29/10/2020 15:55,29/10/2020 15:57,Accidental,Normal,Seccionador N° 54121 averiado.,San Jorge,0 days 00:02:00,120
0,BPA10,26/10/2020 01:37,26/10/2020 03:37,Accidental,Adverso,Condiciones Climáticas Adversas.,Luis Alberto de Herrera,0 days 02:00:00,7200
1,BPA10,26/10/2020 01:37,26/10/2020 03:37,Accidental,Adverso,Condiciones Climáticas Adversas.,San Cristóbal,0 days 02:00:00,7200
2,BPA10,26/10/2020 01:37,26/10/2020 03:37,Accidental,Adverso,Condiciones Climáticas Adversas.,Santa María,0 days 02:00:00,7200
0,BPA10,26/10/2020 02:26,26/10/2020 04:26,Accidental,Adverso,Condiciones Climáticas Adversas.,Luis Alberto de Herrera,0 days 02:00:00,7200
1,BPA10,26/10/2020 02:26,26/10/2020 04:26,Accidental,Adverso,Condiciones Climáticas Adversas.,San Cristóbal,0 days 02:00:00,7200
2,BPA10,26/10/2020 02:26,26/10/2020 04:26,Accidental,Adverso,Condiciones Climáticas Adversas.,Santa María,0 days 02:00:00,7200
0,BPA10,26/10/2020 06:54,26/10/2020 07:05,Accidental,Adverso,Abierto Interruptor. Para efectuar reparación de SFT.Guido Spano y Denis Roa.,Luis Alberto de Herrera,0 days 00:11:00,660
1,BPA10,26/10/2020 06:54,26/10/2020 07:05,Accidental,Adverso,Abierto Interruptor. Para efectuar reparación de SFT.Guido Spano y Denis Roa.,San Cristóbal,0 days 00:11:00,660
2,BPA10,26/10/2020 06:54,26/10/2020 07:05,Accidental,Adverso,Abierto Interruptor. Para efectuar reparación de SFT.Guido Spano y Denis Roa.,Santa María,0 days 00:11:00,660
0,BPA12,24/10/2020 04:03,24/10/2020 06:03,Accidental,Normal,No establecido.,Salvador del Mundo,0 days 02:00:00,7200
1,BPA12,24/10/2020 04:03,24/10/2020 06:03,Accidental,Normal,No establecido.,San Cristóbal,0 days 02:00:00,7200
2,BPA12,24/10/2020 04:03,24/10/2020 06:03,Accidental,Normal,No establecido.,San Jorge,0 days 02:00:00,7200
