,PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
0,BCP2,12/09/2020 23:07,12/09/2020 23:08,Programado,Normal,MEMO DD/DCC1/240/2020.,Bella Vista,0 days 00:01:00,60
1,BCP2,12/09/2020 23:07,12/09/2020 23:08,Programado,Normal,MEMO DD/DCC1/240/2020.,Santo Domingo,0 days 00:01:00,60
2,BCP2,12/09/2020 23:07,12/09/2020 23:08,Programado,Normal,MEMO DD/DCC1/240/2020.,Manorá,0 days 00:01:00,60
0,BCP3,12/09/2020 23:02,12/09/2020 23:03,Programado,Normal,MEMO DD/DCC1/240/2020.,Las Carmelitas,0 days 00:01:00,60
1,BCP3,12/09/2020 23:02,12/09/2020 23:03,Programado,Normal,MEMO DD/DCC1/240/2020.,Villa Morra,0 days 00:01:00,60
2,BCP3,12/09/2020 23:02,12/09/2020 23:03,Programado,Normal,MEMO DD/DCC1/240/2020.,Manorá,0 days 00:01:00,60
0,BCP3,26/09/2020 20:25,26/09/2020 20:39,Accidental,Adverso,"Abierto Interruptor, para reparación de Línea MTSuelta. Sobre Santa Ana.",Las Carmelitas,0 days 00:14:00,840
1,BCP3,26/09/2020 20:25,26/09/2020 20:39,Accidental,Adverso,"Abierto Interruptor, para reparación de Línea MTSuelta. Sobre Santa Ana.",Villa Morra,0 days 00:14:00,840
2,BCP3,26/09/2020 20:25,26/09/2020 20:39,Accidental,Adverso,"Abierto Interruptor, para reparación de Línea MTSuelta. Sobre Santa Ana.",Manorá,0 days 00:14:00,840
0,BMO2,30/09/2020 13:04,30/09/2020 15:04,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay,0 days 02:00:00,7200
0,BPA10,12/09/2020 23:32,12/09/2020 23:34,Programado,Normal,MEMO DD/DCC1/239/2020.,Luis Alberto de Herrera,0 days 00:02:00,120
1,BPA10,12/09/2020 23:32,12/09/2020 23:34,Programado,Normal,MEMO DD/DCC1/239/2020.,San Cristóbal,0 days 00:02:00,120
2,BPA10,12/09/2020 23:32,12/09/2020 23:34,Programado,Normal,MEMO DD/DCC1/239/2020.,Santa María,0 days 00:02:00,120
0,BPA10,18/09/2020 14:16,18/09/2020 14:50,Accidental,Normal,SF operado. Bertoni y Del Maestro.,Luis Alberto de Herrera,0 days 00:34:00,2040
1,BPA10,18/09/2020 14:16,18/09/2020 14:50,Accidental,Normal,SF operado. Bertoni y Del Maestro.,San Cristóbal,0 days 00:34:00,2040
2,BPA10,18/09/2020 14:16,18/09/2020 14:50,Accidental,Normal,SF operado. Bertoni y Del Maestro.,Santa María,0 days 00:34:00,2040
0,BPA10,26/09/2020 11:43,26/09/2020 13:09,Accidental,Adverso,Transformador averiado. Mcal. López y G. Campana.,Luis Alberto de Herrera,0 days 01:26:00,5160
1,BPA10,26/09/2020 11:43,26/09/2020 13:09,Accidental,Adverso,Transformador averiado. Mcal. López y G. Campana.,San Cristóbal,0 days 01:26:00,5160
2,BPA10,26/09/2020 11:43,26/09/2020 13:09,Accidental,Adverso,Transformador averiado. Mcal. López y G. Campana.,Santa María,0 days 01:26:00,5160
0,BPA12,6/09/2020 13:43,6/09/2020 14:06,Accidental,Normal,Descargador averiado F2. Cap. Miranda c/ Austria.,Salvador del Mundo,0 days 00:23:00,1380
1,BPA12,6/09/2020 13:43,6/09/2020 14:06,Accidental,Normal,Descargador averiado F2. Cap. Miranda c/ Austria.,San Cristóbal,0 days 00:23:00,1380
2,BPA12,6/09/2020 13:43,6/09/2020 14:06,Accidental,Normal,Descargador averiado F2. Cap. Miranda c/ Austria.,San Jorge,0 days 00:23:00,1380
0,BPA12,6/09/2020 16:40,6/09/2020 16:48,Accidental,Normal,Abierto interruptor para efectuar canalización deCORTE DD/DSO/162/20 (seccionador averiado).,Salvador del Mundo,0 days 00:08:00,480
1,BPA12,6/09/2020 16:40,6/09/2020 16:48,Accidental,Normal,Abierto interruptor para efectuar canalización deCORTE DD/DSO/162/20 (seccionador averiado).,San Cristóbal,0 days 00:08:00,480
2,BPA12,6/09/2020 16:40,6/09/2020 16:48,Accidental,Normal,Abierto interruptor para efectuar canalización deCORTE DD/DSO/162/20 (seccionador averiado).,San Jorge,0 days 00:08:00,480
0,BPA12,12/09/2020 23:48,12/09/2020 23:50,Programado,Normal,MEMO DD/DCC1/239/2020.,Salvador del Mundo,0 days 00:02:00,120
1,BPA12,12/09/2020 23:48,12/09/2020 23:50,Programado,Normal,MEMO DD/DCC1/239/2020.,San Cristóbal,0 days 00:02:00,120
2,BPA12,12/09/2020 23:48,12/09/2020 23:50,Programado,Normal,MEMO DD/DCC1/239/2020.,San Jorge,0 days 00:02:00,120
0,BPA12,29/09/2020 15:44,29/09/2020 17:44,Accidental,Normal,No establecido.,Salvador del Mundo,0 days 02:00:00,7200
1,BPA12,29/09/2020 15:44,29/09/2020 17:44,Accidental,Normal,No establecido.,San Cristóbal,0 days 02:00:00,7200
2,BPA12,29/09/2020 15:44,29/09/2020 17:44,Accidental,Normal,No establecido.,San Jorge,0 days 02:00:00,7200
0,BPA12,29/09/2020 19:15,29/09/2020 19:54,Accidental,Normal,Puente MT Suelto. E. Miranda y Santa Teresa.,Salvador del Mundo,0 days 00:39:00,2340
1,BPA12,29/09/2020 19:15,29/09/2020 19:54,Accidental,Normal,Puente MT Suelto. E. Miranda y Santa Teresa.,San Cristóbal,0 days 00:39:00,2340
2,BPA12,29/09/2020 19:15,29/09/2020 19:54,Accidental,Normal,Puente MT Suelto. E. Miranda y Santa Teresa.,San Jorge,0 days 00:39:00,2340
0,BPA4,6/09/2020 01:06,6/09/2020 02:06,Accidental,Normal,Primer tramo subterráneo averiado.,Luis Alberto de Herrera,0 days 01:00:00,3600
1,BPA4,6/09/2020 01:06,6/09/2020 02:06,Accidental,Normal,Primer tramo subterráneo averiado.,San Cristóbal,0 days 01:00:00,3600
2,BPA4,6/09/2020 01:06,6/09/2020 02:06,Accidental,Normal,Primer tramo subterráneo averiado.,Santa María,0 days 01:00:00,3600
0,BPA5,13/09/2020 23:46,14/09/2020 01:46,Accidental,Adverso,Condiciones Climáticas Adversas.,San Cristóbal,0 days 02:00:00,7200
1,BPA5,13/09/2020 23:46,14/09/2020 01:46,Accidental,Adverso,Condiciones Climáticas Adversas.,Recoleta,0 days 02:00:00,7200
0,BPA6,30/09/2020 18:15,30/09/2020 20:15,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay,0 days 02:00:00,7200
1,BPA6,30/09/2020 18:15,30/09/2020 20:15,Accidental,Adverso,Condiciones Climáticas Adversas.,Ykua Sati,0 days 02:00:00,7200
2,BPA6,30/09/2020 18:15,30/09/2020 20:15,Accidental,Adverso,Condiciones Climáticas Adversas.,San Jorge,0 days 02:00:00,7200
0,BPA6,30/09/2020 20:56,30/09/2020 20:58,Accidental,Adverso,"Abierto Interruptor, para efectuar reparación dePuente MT Suelto F2. Santa Teresa.",Itay,0 days 00:02:00,120
1,BPA6,30/09/2020 20:56,30/09/2020 20:58,Accidental,Adverso,"Abierto Interruptor, para efectuar reparación dePuente MT Suelto F2. Santa Teresa.",Ykua Sati,0 days 00:02:00,120
2,BPA6,30/09/2020 20:56,30/09/2020 20:58,Accidental,Adverso,"Abierto Interruptor, para efectuar reparación dePuente MT Suelto F2. Santa Teresa.",San Jorge,0 days 00:02:00,120
0,CEN3,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,La Catedral,0 days 00:02:00,120
1,CEN3,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,La Encarnación,0 days 00:02:00,120
0,CEN4,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,La Encarnación,0 days 00:02:00,120
0,CEN6,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,La Encarnación,0 days 00:02:00,120
1,CEN6,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,La Catedral,0 days 00:02:00,120
0,FDM2,14/09/2020 06:28,14/09/2020 06:54,Accidental,Adverso,Fuera de servicio constatado por reclamos.,San Pablo,0 days 00:26:00,1560
0,GDI1,15/09/2020 08:26,15/09/2020 10:26,Accidental,Normal,No establecido.,Gral. J. E Diaz,0 days 02:00:00,7200
1,GDI1,15/09/2020 08:26,15/09/2020 10:26,Accidental,Normal,No establecido.,Obrero,0 days 02:00:00,7200
0,GDI1,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,Gral. J. E Diaz,0 days 00:02:00,120
1,GDI1,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,Obrero,0 days 00:02:00,120
0,GDI2,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,Gral. J. E Diaz,0 days 00:02:00,120
1,GDI2,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,Obrero,0 days 00:02:00,120
